Approval Chain Name,Status,Approval Chain Type,Approval Chain Subtype,Priority,Skip Approvers,Skip Management Hierarchy,Skip Further Approvers,Auto Approve Self,Dedupe OBO User and Auto Approve,Always Evaluate,Parallel,Total Comparator,Minimum Total Amount,Maximum Total Amount,Total Currency,Minimum Approval Limit,Maximum Approval Limit Amount,Maximum Approval Limit Currency,Maximum Approval Limit,Operator,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Description,Approver 1,Approver 2,Approver 3,Approver 4,Approver 5,Approver 6,Approver 7,Approver 8,Approver 9,Approver 10,Watcher 1,Watcher 2,Watcher 3,Watcher 4,Watcher 5,Approver Params,Validation Message,Signatory 1,Signatory 2,Signatory 3,Signatory 4,Signatory 5,Applies to Supplier
Airbox LLC 10% blocker,active,requisition-submission-warning,,4,,,No,No,No,,No,Greater than or equals,10000,,USD,,,,,And,"supplier:contains:Airbox, LLC",contract_number:contains:A1,item_name:contains:10%,,,,,,,,,,,,,,,,,,,,,,,,"","Order exceeds $10,000. 10% discount is applicable on the total order. Adjust amount by adding another line item as 'Discount' with negative amount.",,,,,,No
Temp PO CHange Flow,active,order-header-change,,5,No,No,No,No,No,,No,Greater than,-1,,USD,,,,,And,,,,,,,,,,,,kwatkins:100000000.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
Airbox LLC 20% blocker,active,requisition-submission-warning,,5,,,No,No,No,,No,Greater than or equals,20000,,USD,,,,,And,"supplier:contains:Airbox, LLC",contract_number:contains:A1,item_name:contains:20%,,,,,,,,,,,,,,,,,,,,,,,,"","Order exceeds $20,000. 20% discount is applicable on the total order. Adjust amount by adding another line item as 'Discount' with negative amount.",,,,,,No
Airbox LLC 35% blocker,active,requisition-submission-warning,,5,,,No,No,No,,No,Greater than or equals,20000,,USD,,,,,And,"supplier:contains:Airbox, LLC",contract_number:contains:A1,item_name:contains:35%,,,,,,,,,,,,,,,,,,,,,,,,"","Order exceeds $50,000. 35% discount is applicable on the total order. Adjust amount by adding another line item as 'Discount' with negative amount.",,,,,,No
High Amounts Contracts,active,contract,,6,No,Yes,No,No,No,,No,Greater than,0,,USD,,,,,And,supplier:is not blank:,,,,,,,,,,,Legal:-1.0:USD,vpierre:999999999.0:USD,,,,,,,,,,,,,,"",,,,,,,No
Contract Form designating Supplier,active,easy-form-contract,,6,No,,No,No,No,,No,Greater than,,,,,,,,And,supplier:is not blank:,,,,,,,,,,,Purchasing::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Original Requester as Watcher,inactive,easy-form-supplier-information,,10,No,No,No,No,No,,No,Greater than,,,,,,,,And,,,,,,,,,,,,,,,,,,,,,,requester,,,,,"",,,,,,,No
Receipt Request Approval Chain,active,receipt-request,,10,No,,No,No,No,,No,Greater than or equals,,,,,,,,And,,,,,,,,,,,,david.symborski@datamap.ai::AUD,,,,,,,,,,,,,,,"",haha,,,,,,No
*PO Backed Invoices to Requester,active,invoice,,10,Yes,Yes,Yes,Yes,No,No,No,Greater than,0,,USD,,,,,And,account_type_without_segments:equals:CHART100,po_match_level:equals:3-way,,,,,,,,,,Lenny:999999999.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
CoupaLink SIM Existing Supplier Update,active,easy-form-supplier-information,,10,No,No,No,No,No,,No,Greater than,,,,,,,,And,"form_name:equals:CoupaLink SIM Update Existing Vendor,CoupaLink SIM Activate/Deactivate",,,,,,,,,,,Vendor Management Group::,,,,,,,,,,,,,,,"",,,,,,,No
CapitalProjectRequest_Test,active,easy-form-user,,10,No,,No,No,No,,No,Greater than,,,,,,,,And,form_name:contains:Test04252024_CAPITAL,,,,,,,,,,,mike.rosier@datamap.ai::,,,,,,,,,,,,,,,"",,,,,,,No
Trustpair,active,easy-form-supplier-information,,10,No,No,No,No,No,,No,Greater than,,,,,,,,And,"form_name:contains:Trustpair,simple",supplier_information_cf:Skip Trustpair Evaluation:equals:false,,,,,,,,,,Trustpair Remote Approver::,,,,,,,,,,,,,,,"",,,,,,,No
**HC SIM New Supplier Form,active,easy-form-supplier-information,,10,No,No,No,No,No,,No,Greater than,,,,,,,,And,form_name:contains:New Supplier Onboarding,,,,,,,,,,,Procurement::,,,,,,,,,,,,,,,"",,,,,,,No
Non-PO Invoices go to AP Processor,inactive,invoice,,20,No,No,No,No,No,Yes,No,Greater than,-1,,USD,,,,,And,invoice_type:equals:non-po-backed,,,,,,,,,,,amanning:250000.0:USD,broberts:500000.0:USD,vpierre:1000000.0:USD,,,,,,,,,,,,,"",,,,,,,No
Maintenance Project request,active,easy-form-capital-project,,23,No,No,No,No,No,,No,Greater than,,,,,,,,And,widget_record_cf:Project Type:contains:buildings,,,,,,,,,,,Specialty Approver::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Capital IT Project Approval,active,easy-form-capital-project,,24,No,No,No,No,No,,No,Greater than,,,,,,,,And,widget_record_cf:Project Type:contains:IT,,,,,,,,,,,IT Approver::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Capital Project Request,active,easy-form-capital-project,,25,No,No,No,No,No,,No,Greater than,,,,,,,,And,,,,,,,,,,,,Power Automate Listener::,,,,,,,,,,,,,,,"",,,,,,,No
CoupaLink SIM External Info Request,active,easy-form-supplier-information,,34,No,No,No,No,No,,No,Greater than,,,,,,,,And,form_name:equals:CoupaLink SIM External Info Request,,,,,,,,,,,Vendor Management Group::,,,,,,,,,,,,,,,"",,,,,,,No
Test User Form,active,easy-form-user,,34,No,,No,No,No,,No,Greater than,,,,,,,,And,form_name:equals:Test User Form,,,,,,,,,,,will.schade@datamap.ai::,,,,,,,,,,,,,,,"",,,,,,,No
Expense Report for Training goes to HR group - EN,active,expense,,41,No,No,No,No,No,,No,Greater than,0,,AUD,,,,,And,,,,,,,,,,,,HR approver::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Expense Report for Training goes to HR group - DE,active,expense,,41,No,No,No,No,No,,No,Greater than,0,,AUD,,,,,And,,,,,,,,,,,,HR approver::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Expense Report for Training goes to HR group - FR,active,expense,,41,No,No,No,No,No,,No,Greater than,0,,AUD,,,,,And,,,,,,,,,,,,HR approver::AUD,,,,,,,,,,,,,,,"",,,,,,,No
New Suppler EZ Form IT commodity to IT approval group,inactive,easy-form-supplier-information,,45,No,No,No,No,No,,No,Greater than,0,,,,,,,And,default_commodity:contains:IT:no,,,,,,,,,,,IT Approver::,,,,,,,,,,,,,,,"",,,,,,,No
Alternative Payment Offer to Treasury Group,inactive,invoice,,46,No,No,No,No,No,Yes,No,Greater than,-1,,USD,,,,,And,,,,,,,,,,,,Treasury:1000000.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
All contracts to legal,active,contract,,46,No,No,No,No,No,,No,Greater than or equals,0,,GBP,,,,,And,maximum_spend:greater than or equal to:0:GBP,,,,,,,,,,,Legal:5000000000000000.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
IT Commodity $10K+ to IT Approvers,active,requisition,,48,No,No,No,No,No,,No,Greater than,10000,,USD,,,,,And,commodity:equals:IT:yes,,,,,,,,,,,IT Approver::USD,,,,,,,,,,,,,,,"",,,,,,,No
New IT Supplier EZ form to Vendor Master group,inactive,easy-form-supplier-information,,48,No,Yes,No,No,No,,No,Greater than,0,,,,,,,And,form_name:is not blank:,,,,,,,,,,,Vendor Master::,,,,,,,,,,,,,,,"",,,,,,,No
Transaction Automation,active,requisition,,49,No,Yes,Yes,Yes,No,,No,Greater than,0,,USD,,,,,And,account_type_without_segments:equals:CHART900,,,,,,,,,,,rrobot:1000000.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
Transaction Automation - Invoices,inactive,invoice,,49,No,Yes,Yes,Yes,No,No,No,Greater than,0,,AUD,,,,,And,"account:contains:,,,,,,,,,,,,,,,,,,,:CHART900",,,,,,,,,,,rrobot:1000000.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
New Contract Approval,inactive,easy-form-contract,,51,No,,No,No,No,,No,Greater than,,,,,,,,And,,,,,,,,,,,,Legal::AUD,,,,,,,,,,,,,,,"",,,,,,,No
No Project,active,easy-form-new-budget,,51,No,No,No,No,No,,No,Greater than,,,,,,,,And,widget_record_cf:Project:is blank:,,,,,,,,,,,manager::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Expense PreApproval,active,easy-form-expense-preapproval,,51,No,No,No,No,No,,No,Greater than,,,AUD,,,,,And,,,,,,,,,,,,manager:5000.0:USD,vpierre::USD,,,,,,,,,,,,,,"",,,,,,,No
All Budget,active,easy-form-new-budget,,52,No,No,No,No,No,,No,Greater than,,,,,,,,And,form_name:is not blank:,,,,,,,,,,,Finance::AUD,,,,,,,,,,,,,,,"",,,,,,,No
All Budget CFO,active,easy-form-new-budget,,98,No,No,No,No,No,,No,Greater than,,,,,,,,And,form_name:is not blank:,,,,,,,,,,,vpierre::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Budget more than 150k,active,easy-form-new-budget,,99,No,No,No,No,No,,No,Greater than,,,,,,,,And,amount:greater than or equal to:150000:GBP,,,,,,,,,,,mjordan::AUD,,,,,,,,,,,,,,,"",,,,,,,No
